Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
2.5,560,0.006,8,8,-55,105,0.12,0.284,2000,500,3200,RL80E561MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,560,0.006,8,8,-55,105,0.12,0.284,5000,500,3200,RL80E561MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,560,0.006,8,8,-55,105,0.12,0.284,2000,500,3200,RL80E561MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,560,0.006,8,8,-55,105,0.12,0.284,5000,500,3200,RL80E561MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,820,0.006,8,8,-55,105,0.12,0.194,2000,512,3200,RL80E821MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,820,0.006,8,8,-55,105,0.12,0.194,5000,512,3200,RL80E821MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,820,0.006,8,8,-55,105,0.12,0.194,2000,512,3200,RL80E821MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,820,0.006,8,8,-55,105,0.12,0.194,5000,512,3200,RL80E821MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1000,0.006,8,8,-55,105,0.12,0.186,2000,625,3200,RL80E102MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1000,0.006,8,8,-55,105,0.12,0.186,5000,625,3200,RL80E102MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1000,0.006,8,8,-55,105,0.12,0.186,2000,625,3200,RL80E102MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1000,0.006,8,8,-55,105,0.12,0.186,5000,625,3200,RL80E102MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1200,0.007,8,8,-55,105,0.12,0.155,2000,750,3200,RL80E122MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1200,0.007,8,8,-55,105,0.12,0.155,5000,750,3200,RL80E122MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1200,0.007,8,8,-55,105,0.12,0.155,2000,750,3200,RL80E122MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1200,0.007,8,8,-55,105,0.12,0.155,5000,750,3200,RL80E122MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1500,0.007,8,8,-55,105,0.12,0.124,2000,937,3200,RL80E152MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1500,0.007,8,8,-55,105,0.12,0.124,5000,937,3200,RL80E152MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1500,0.007,8,8,-55,105,0.12,0.124,2000,937,3200,RL80E152MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
2.5,1500,0.007,8,8,-55,105,0.12,0.124,5000,937,3200,RL80E152MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
